Date,IONQ_Open,IONQ_High,IONQ_Low,IONQ_Close,IONQ_Volume,QBTS_Open,QBTS_High,QBTS_Low,QBTS_Close,QBTS_Volume,RGTI_Open,RGTI_High,RGTI_Low,RGTI_Close,RGTI_Volume,QUBT_Open,QUBT_High,QUBT_Low,QUBT_Close,QUBT_Volume,XNDU_Open,XNDU_High,XNDU_Low,XNDU_Close,XNDU_Volume,INFQ_Open,INFQ_High,INFQ_Low,INFQ_Close,INFQ_Volume,HQ_Open,HQ_High,HQ_Low,HQ_Close,HQ_Volume
2026-02-27,39.42,39.56,36.45,38.37,28768400,19.42,19.5,17.65,18.78,27470100,18.11,18.17,16.62,17.42,26199900,8.71,8.8,8.11,8.41,12096500,,,,,0,12.17,12.4,11.27,11.64,3735300,,,,,0
2026-03-02,36.43,38.44,36.4,38.34,16563500,17.94,18.97,17.83,18.94,18583400,16.69,17.78,16.66,17.69,19302300,8.09,8.61,8.04,8.59,12165200,,,,,0,11.3,12.19,11.29,11.92,2583200,,,,,0
2026-03-03,36.69,38.12,35.29,37.05,19852600,18.26,18.71,17.46,18.24,20868200,16.94,17.61,16.24,16.96,29009900,8.11,8.28,7.7,7.73,14785200,,,,,0,11.3,11.89,11.03,11.81,2626400,,,,,0
2026-03-04,37.68,38.24,36.54,37.13,47410200,18.47,19.07,18.18,18.91,19013100,17.04,17.96,16.88,17.76,27203800,7.99,8.25,7.85,8.15,13361800,,,,,0,11.71,11.95,11.36,11.8,2163800,,,,,0
2026-03-05,36.6,36.68,34.31,36.02,21173500,18.59,18.85,17.26,18.83,33151100,16.99,17.03,15.94,16.97,41786500,7.98,8.07,7.58,7.72,13945700,,,,,0,11.59,12.04,10.92,11.21,3033100,,,,,0
2026-03-06,35.41,37.48,35.1,35.73,18481800,18.23,19.61,18.23,18.59,27228600,16.62,17.55,16.54,17.01,26839400,7.5,8.05,7.41,7.6,12238100,,,,,0,10.85,11.21,10.62,10.67,2544800,,,,,0
2026-03-09,34.77,36.08,33.81,35.87,16385600,18.13,19.1,17.48,19.04,26090500,16.57,17.69,16.12,17.6,26103300,7.4,7.77,7.22,7.63,12019200,,,,,0,10.52,11.66,10.38,11.66,3259900,,,,,0
2026-03-10,35.95,36.92,35.03,35.12,22204000,19.27,19.52,18.66,18.76,21613900,17.52,17.92,16.96,16.99,23912100,7.74,7.95,7.56,7.6,11794200,,,,,0,11.65,12.66,11.65,12.15,3387800,,,,,0
2026-03-11,35.29,35.89,33.5,34.27,29303700,18.79,19.47,18.45,18.91,18330000,16.99,17.48,16.58,16.94,23368600,7.58,7.86,7.43,7.62,9294400,,,,,0,12.16,12.3,11.31,11.43,2697500,,,,,0
2026-03-12,33.98,34.72,33.03,33.03,22093100,18.54,18.79,17.67,17.83,23983200,16.64,16.73,15.84,16.07,24804300,7.49,7.55,7.23,7.43,11177900,,,,,0,11.32,11.53,10.61,10.68,2772900,,,,,0
2026-03-13,33.58,34.58,32.83,32.98,15353600,18.12,18.69,17.43,17.55,20995900,16.43,17.25,15.9,16.17,26888600,7.49,7.69,7.28,7.3,9137100,,,,,0,10.84,11.19,10.01,10.08,3074400,,,,,0
2026-03-16,33.52,34.41,32.39,33.29,19347200,17.98,18.42,17.12,17.46,25472600,16.54,17.0,15.56,16.14,28842600,7.49,7.67,7.19,7.37,10194100,,,,,0,10.29,10.65,10.14,10.55,2400700,,,,,0
2026-03-17,33.3,34.15,33.06,33.31,19488400,17.49,17.75,17.11,17.47,17508600,16.17,16.48,15.75,16.22,21122600,7.35,7.57,7.3,7.54,8121000,,,,,0,10.77,11.1,10.55,10.78,2023700,,,,,0
2026-03-18,33.05,34.0,32.36,32.38,16185000,17.25,17.32,16.45,16.49,21200900,15.96,16.2,15.61,15.67,25721600,7.48,7.51,7.2,7.25,8536800,,,,,0,10.6,10.62,9.77,9.8,2855000,,,,,0
2026-03-19,31.54,32.55,30.73,31.9,16994300,15.94,16.38,15.36,16.1,21587100,15.19,15.6,14.73,15.41,23808200,7.01,7.37,6.88,7.19,9823600,,,,,0,9.44,9.79,9.01,9.62,2546200,,,,,0
2026-03-20,31.8,32.25,30.5,31.2,17191400,15.84,16.06,15.22,15.73,26408300,15.11,15.23,14.37,14.88,24794800,7.07,7.2,6.85,6.96,9311100,,,,,0,9.5,9.55,8.56,8.81,3557500,12.0,13.44,8.99,9.85,74900
2026-03-23,31.64,33.63,31.29,33.11,19150800,15.71,16.47,15.55,16.31,20797500,15.07,15.89,14.96,15.88,25794400,6.97,7.39,6.93,7.34,12101800,8.55,8.9,7.96,8.01,199400,9.03,9.69,8.8,9.58,2201100,9.54,11.8,9.54,11.33,77600
2026-03-24,32.38,33.46,31.88,32.7,13518700,16.06,16.28,15.43,15.93,18050000,15.48,16.09,15.07,15.6,23511900,7.2,7.53,7.07,7.45,8544500,8.1,8.9,8.1,8.89,217300,9.4,10.36,9.21,10.25,2440900,11.3,11.3,10.55,11.1,125800
2026-03-25,33.38,34.18,31.66,31.96,15634000,16.26,16.73,15.9,16.19,15989100,16.0,16.3,14.78,15.14,27814300,7.62,7.71,7.14,7.32,8600800,8.94,9.25,8.71,8.96,227900,10.85,11.55,10.5,11.33,4000100,10.98,11.5,10.86,11.0,75400
2026-03-26,31.4,31.61,29.71,29.84,17726800,15.78,15.83,14.57,14.65,20256300,14.77,14.9,14.24,14.41,20765700,7.11,7.39,7.1,7.12,6903400,9.88,10.69,9.2,9.72,636700,11.28,11.77,10.6,10.65,3071600,11.21,11.69,10.73,10.89,99900
2026-03-27,29.55,29.6,27.38,27.51,19502400,14.51,14.63,13.7,13.9,18329300,14.25,14.34,13.21,13.32,26114700,6.96,7.01,6.63,6.66,9791200,10.0,12.8,8.8,11.5,3010800,10.4,10.4,9.66,9.85,2864200,10.89,11.04,9.51,9.71,29000
2026-03-30,27.79,28.16,25.89,26.59,18695300,13.81,13.9,12.75,12.98,23230100,13.4,13.57,12.53,12.9,26504600,6.72,6.74,6.18,6.31,8288600,10.96,11.23,7.65,7.83,906300,9.85,9.9,8.52,8.92,3074200,10.33,10.33,8.5,8.95,43100
2026-03-31,27.2,29.18,27.06,28.83,23148900,13.28,14.49,13.13,14.43,25031400,13.23,14.15,13.06,14.04,26696000,6.45,6.94,6.45,6.85,13443300,8.58,8.62,7.35,7.66,1073000,9.13,9.82,9.11,9.81,2043100,8.33,9.25,8.33,8.79,47100
2026-04-01,29.64,29.91,27.57,27.79,19072900,14.85,14.99,13.65,13.7,21754600,14.3,14.52,13.44,13.5,22742200,6.97,7.04,6.61,6.64,8064600,7.86,8.2,7.17,7.5,842800,9.92,10.09,9.33,9.41,2218400,9.14,9.14,8.5,8.59,25200
2026-04-02,26.8,29.49,26.74,29.3,15521800,13.1,14.38,13.01,14.32,17185500,12.89,14.24,12.81,14.19,25642900,6.4,6.87,6.34,6.87,7255500,7.5,8.49,6.97,8.39,684300,9.03,10.6,9.0,10.57,2539500,8.5,9.49,8.29,9.31,64300
2026-04-06,29.33,30.3,28.71,29.24,11775700,14.2,14.67,13.78,14.14,14269900,14.06,14.56,13.86,14.2,16002400,6.84,7.08,6.78,6.86,6272000,8.39,8.51,7.92,8.11,331400,10.64,11.12,10.42,10.45,1660700,9.5,9.73,9.03,9.1,29200
